Hate words,Why Hate?,Offensive words,Why offensive?
Arna,discrimination based on religion,Yan bidi'a,insulting
Yahudawa,discrimination based on race,Akuya,comparison to animal
Yahudu,discrimination based on race,Jakai,comparison to animal
Kafirai,discrimination based on religion,Dabba,comparison to animal
Kafurai,discrimination based on religion,Karnuka,comparison to animal
Mushirikai,discrimination based on religion,Birai,comparison to animal
Mushurikai,discrimination based on religion,Tunkiya,comparison to animal
Maguzawa,discrimination based on religion,Shegu,insulting
Cow,"comparison to animal, dehuminizing",Yan iska,insulting
Aboki,disrimination based on tribe. could also be neutral,Matsiyata,insulting
Kabila ,discrimination based on tribe,Tsinannu,insulting
Baby factory,discrimination based on tribe,Munafikai,insulting
Inyamirai,disrimination based on tribe. ,Yan kutumar uba,insulting
Inyamurai,disrimination based on tribe. could also be neutral,Talakawa,insulting
Malo,disrimination based on tribe. ,Barayi,insulting
Mallam,disrimination based on tribe. could also be neutral,Marasa hankali,insulting
Boko Haram,depends on usage,Sakarkaru,insulting
Parasites,could be hate or offensive depending on context,Sususai,insulting
Animal,"comparison to animal, dehuminizing",Sokwaye,insulting
Biafrats,"comparison to animal, dehuminizing",Shashasai,insulting
Biafraud,derogatory to people of biafra land,Kidahumai,insulting
Herdsman,discrimination based on tribe. Could be neutral,Marasa Asali,insulting
herdsmen,discrimination based on tribe. Could be neutral,Dolaye,insulting
Fulani kidnappers,usually used to label al fulani as kidnappers,Wawaye,insulting
Killer herders,stereotyping fulanis as killers,Jahilai,insulting
Terrorist,negative accusation,Dakikai,insulting
Arne,discrimation based on religion,Mahaukata,insulting
Bayahude,discrimination based on race,Karuwai,insulting
Kafiri,discrimination based on race,Yan bariki,insulting
Kafuri,discrimination based on race,Yan tasha,insulting
Mushiriki,discrimination based on race,Munana,insulting
Mushuriki,discrimination based on race,Daqiqai,insulting
Bamaguje,discrimination based on race,Guntaye,insulting
Dan izala,discriminatory/neutral,Garori,insulting
Dan shi'a,discriminatory/neutral,Yan wahala,insulting
Dan darika,discriminatory/neutral,Yan duniya,insulting
Inyamiri,discriminatory/neutral,Yan daudu,insulting
Inyamuri,discriminatory/neutral,Kazamai,insulting
Almajiri,discriminatory/neutral,Agololi,insulting
Arniya,discriminatory/neutral,Yan jagaliya,insulting
Bayahudiya,discriminatory/neutral,Ajawo,insulting
Kafira,discriminatory/neutral,Yan ta'adda,insulting
Kafura,discriminatory/neutral,Yan kauye,insulting
Mushirika,discriminatory/neutral,Gidadawa,insulting
Mushurika,discriminatory/neutral,Malalata,insulting
Bamagujiya,discriminatory/neutral,Marowata,insulting
Yar izala,discriminatory/neutral,Hannun jarirai,insulting
Yar shi'a,discriminatory/neutral,Bakin haure,insulting
Yar darika,discriminatory/neutral,Dan bidi'a,insulting
Inyamira,discriminatory/neutral,Jaki,comparison to animal
Inyamura,discriminatory/neutral,Kare,comparison to animal
,,Biri,comparison to animal
,,Shege,insulting
,,Dan Kwalta,insulting
,,Dan iska,insulting
,,Matsiyaci,insulting
,,Tsinanne,insulting
,,munafiki,insulting
,,Dan kutumar uba,insulting
,,Waada,insulting
,,Talaka,insulting
,,Dan mace,insulting
,,Barawa,insulting
,,Marar hankali,insulting
,,Tasono,insulting
,,Sakarai,insulting
,,Sususu,insulting
,,soko,insulting
,,Shashasha,insulting
,,Banza,insulting
,,kidahumi,insulting
,,Marar Asali,insulting
,,Dolo,insulting
,,Wawa,insulting
,,Jahili,insulting
,,Dan akuya,insulting
,,Dakiki,insulting
,,Sauna,insulting
,,Sabalikita,insulting
,,Mahaukaci,insulting
,,Dan bariki,insulting
,,Dan tasha,insulting
,,Mummuna,insulting
,,Daqiqi,insulting
,,Guntu,insulting
,,Gara,insulting
,,Dan wahala,insulting
,,Dan duniya,insulting
,,Baho,insulting
,,Gaja,insulting
,,Awon igiya,insulting
,,Dan daudu,insulting
,,Kazami,insulting
,,Tunkuza,insulting
,,Agola,insulting
,,Dan shegiya,insulting
,,Dan Jahgaliya,insulting
,,Dan ta'adda,insulting
,,Dan akuya,insulting
,,Dan kauye,insulting
,,Alade,insulting
,,Bagidaje,insulting
,,Malalci,insulting
,,Marowaci,insulting
,,Bakon haure,insulting
,,Dan baki,insulting
,,Duna,insulting
,,Yar bidi'a,insulting
,,Jaka,insulting
,,Karya,insulting
,,Shegiya,insulting
,,Yar Kwalta,insulting
,,Yar iska,insulting
,,Matsiyaciya,insulting
,,Tsinanniya,insulting
,,Munafika,insulting
,,Yar kutumar uba,insulting
,,Karuwa,insulting
,,Yar mace,insulting
,,Barauniya,insulting
,,Sakara,insulting
,,Susuwa,insulting
,,sokuwa,insulting
,,Kidahuma,insulting
,,Doluwa,insulting
,,Wawiya,insulting
,,Jahila,insulting
,,Yar akuya,insulting
,,Dakikiya,insulting
,,Mahaukaciya,insulting
,,Karuwa,insulting
,,Yar bariki,insulting
,,Yar tasha,insulting
,,Daqiqiya,insulting
,,Guntuwa,insulting
,,Yar wahala,insulting
,,Yar duniya,insulting
,,Ballagaza,insulting
,,Kazama,insulting
,,Yar shegiya,insulting
,,Yar Jagaliya,insulting
,,Yar ta'adda,insulting
,,Yar akuya,"comparison to animal, hate"
,,Yar kauye,insulting
,,Bagidajiya,insulting
,,Malalaciya,insulting
,,Marowaciya,insulting
,,Bakuwar haure,insulting
,,Yar baki,insulting